هم;concern, worry
إبهام;thumb
بذر;seed
جمل;camel
قفز;jump, leap
جامع;mosque
اختفاء;disappearing
إتيان;bringing, offering
نصيحة;advice
مطب;pothole, pitfall
مناداة;calling, calling out
داعٍ;preacher
تأدية;performing, executing
نوع;category, class, order, species
ملف;file, folder, portfolio, dossier
نقل;copying, making a copy of
كره;hatred, hate
لا سبيل إلى;there is no way to
خشية;fearing, being afraid of, out of fear of
الحيلولة بين;intervening, interposing, coming between
فناء;passing away, perishing, ceasing to exist, coming to an end
ملحمة;epic, saga
بقدر ما;in the same measure as, to the same extent as, as much as, as large as
بخلاف ما;contrary to what
مستفاد من;benefited from
ما لم ف;unless
إيتاء;giving, bringing, granting, bestowing
بذات;by  self/selves
تبعية;subordination, subjection, submission
في مقابل;in exchange for, in return for
نادرة;interesting or funny story, anecdote
مزبلة;garbage dump
محاسبة;holding accountable
إن صح التعبير;so to speak, if one may say
دعوى;claim, legal suit, court case
فض;scattering, dispersing, breaking up
شريعة;sharia
متطرف;extremist
مفارقة;irony, paradox
منظّر;theorist, theoretician
موضوعية;objectivity
كفاية;sufficient amount, degree, extent, etc., sufficiency
على كل حال;in any case, anyhow
شبع;being full , satiation
تفاح;apple
أسطورة;legend, myth
ضعف;weakness
آليات;mechanisms
انفجار;explosion, exploding
بلادة;dull-witted
علّامة;scholar, master, scientist, expert
أمر;matter, issue, thing
ضمير;conscience
تطور;development, evolution, growth
حق;just due, right, legitimate claim, entitlement, prerogative
مال;money, wealth, property
خصم;adversary, opponent, rival
مشهد;scene
إيجار;rent, renting
ولادة;birth, childbirth, delivery
مخطط;plan
اطمئنان;reassurance, being reassured
مهرجان;festival
مقياس;standard, measure, gauge, criterion
طبيعة;nature
أداة;tool, utensil, device, appliance, instrument
تصليح;repair, fixing
قلق;worrying, worry, concern
ورق;paper, sheet, document
طبع;typing, printing
ممارسة;practicing, practice, pursuing, exercising
فترة;period
عالم;scientist, scholar
انتماء;belonging, association, affiliation
لا شك;no doubt
مختبر;laboratory
قوة;power, force, strength
علام;flag
رصيف;sidewalk
دقة;precision, accuracy
سن;tooth
ربيع;spring
مصدر;source
استثناء;exception, exclusion, making an exception
محاضرة;lecture,  class
نمو;growing, developing, growth, development
وجهة نظر;point of view, opinion
جذر;root
عظم;bone
كرامة;dignity
خيط;thread, string
سطح;roof
عملية;operation, process
استقبال;greeting, welcoming, receiving, reception
جلب;attracting, bringing or drawing in
سقف;ceiling, roof
واقع;reality
أزمة;crisis
عبارة;phrase, expression
صيام;fasting
درجة حرارة;temperature
هدف;aim, goal, purpose, target
الخليج;the Arabian Gulf, Persian Gulf, Gulf
غضبًا;anger
ذات;self
شريط;tape
قيد;limit, restriction
إرادة;desire, will
قضية;issue, matter, affair
تقرير;report
دفاع عن;defense of, defending of
عبد;servant, slave
حكم;rule, ruling
فرصة سعيدة;Nice to meet you
نظام;ruling system, regime
سكن;living, dwelling, residing, inhabiting
إعلام;media
بوسع;to be in  power to
إيصال;conveying, transporting
عمر;age,  old
سرقة;stealing, theft, robbery
وفد;delegation
بناية;building
شبه;almost, semi, quasi
فرع;branch
جذب;attracting
تصرف;behavior, action
مدخول;income
ندرة;rarity, rareness, scarcity
منافسة;competing, competition
مباراة;contest, tournament, match
فران;oven
غباوة;stupidity
ملمح;feature
صفة;quality, characteristic, attribute
جمهورية;republic
على العموم;generally, in general
صوف;wool
إحساس ب;feeling, sense of
تعبير;expression, expressing
شجاعة;bravery, courage
خلفية;background
حدود;limits, boundaries
فالصراحة;honestly, frankly
فضول;curiosity
مخدرات;drugs
غريب;stranger, outsider, foreigner
مرتب;salary
تسويق;marketing
دمع;tear
سم;poison, toxin
قصف;bombing, shelling
مجهود;effort
أسس;basics, rudiments
مهاجر;immigrant, emigrant, migrant
رمل;sand
كومة;pile, heap
علم;knowledge, education
زيارات;visits
هجرة;immigration
مما;than
تاريخ;date
دليل;proof, evidence
سوق;driving
فراغ;void, emptiness
روح;soul, spirit, breath of life
فرش;furnishing
ثورة;revolution
ذنب;guilt
حيوية;vitality, vigor, liveliness
ضغط;pressure
ثروة;fortune, wealth
في العادة;usually
دين;debt, credit
تمر;date
حل;solution
استيعاب;comprehending, comprehension
حكومة;government
هدف;goal
مناسبة;occasion, event
مسئولية;responsibility
أغلبية;majority, most
هز;shaking
حياة;life
مرجعية;reference, authority, authoritative source
خلق;s.th. which is created, creation
قرن;century
بعد;distance, farness, being far away
منطقة;area, region, zone
غنم;sheep , small cattle
صعود;climbing, ascending, going up, rising
ثقة;confidence
صفحة;page
حرمان;deprivation
القضايا الراهنة;current events
قرار;decision
موقع;website
عدل;justice, fairness
وطن;home country, homeland
علاقة;connection, relationship
مرح;joy, cheerfulness, hilarity
حافز;motive, incentive
أنثى;female
ريف;countryside
النفس;the self
منهاج;curriculum
مستقبل;future
إنسانية;humanity, humaneness
حرية;freedom
تجارة;trade, business, commerce
قدس;Jerusalem
ولا وجع دماغ;and save  the headache
ملل;boredom
طول عمر;always, forever, all  life
اقتصاد;economics
كبت;repression, suppression
مؤسسة;institution, foundation
وضع;situation, status, condition
عرق;sweat
نظام;proper order, orderliness
فضل;benefit, favor, grace
فلاح;peasant, farmer
شعور;feeling
تشجيع;encouraging, promoting, encouragement, promotion
شعار;slogan, motto
إدارة;managing, management, administration
نفس;psyche, spirit, mind
بطالة;unemployment
محتويات;contents, ingredients
قيد;chain, shackle
نية;intent, intention
عقل;mind, brain, intellect
رؤية;vision
غريزة;instinct, natural impulse
جريدة;newspaper
معيار;criterion, standard
حاجز;obstacle, barrier
تكسير;breaking
إعلان;advertisement, commercial
جرعة;dose, dosage
خيال;imagination
عنصر;component, element
نفس;breath
ذوق;taste, preference
مشروع;project, plan, business
فرصة;chance, opportunity
رياح;rest, relaxation, comfort
تاج راس;apple of  eye
حمد لله ع سلامتك;[said when someone recovers from an illness or returns from a long journey]
خرزة;bead
خاتم;ring
قيادة;driving
طموح;ambition, having ambition
إحساس;feeling
ما;some, or other
اهتمام;care, concern, attention, interest
تبادل;exchange, exchanging
جنس;sex, gender
أساس;basis, foundation
مسؤول;official, person in charge
لحظة;moment
خط;line
بديل;substitute, alternative
خصوصية;privacy
ببطء;slowly
تكنولوجيا;technology
أمل;hope
مشاهير;celebrities
استقلال;independence
بشكل;in a  way or manner, -ly
مرآة;mirror
قصد;intention,  means
زمان;time, period of time, long period of time
يوم النكبة;Nakba Day
زبالو;trash, garbage
تصوير;filming, recording
لا حول الله;[expresses helpless resignation]
نظام;system, order
ثقة;trust
حنين;nostalgia, yearning, longing
خيبة;disappointment, failure
صندوق;box
جل;most of, the greater part of
طاقة;energy, power, ability, strength
حراسة;guarding, guard, sentry
حيرة;confusion, becoming confused
صحة;rightness, soundness, correctness
نظرية;theory
نطق;pronouncing, pronunciation, articulation
صنف;kind, sort, specimen, type
لجوء;refuge, political asylum , seeking asylum
كم;amount, quantity
مناخ;climate
الأمم المتحدة;The United Nations
اجتماع;meeting
قياس;measuring, taking measurements of
تلفاز;television
مصير;fate, destiny
صبر;patience
غابة;forest, woods, jungle
عدا;enemy
ضر;harm, damage
مساعدة;help/helping, assistance/assisting, aid/aiding
مترجم;translator
قهر;subjugation, subjugating, conquering
عنف;violence, harshness
مأساة;tragedy
رد فعل;reaction
قدم;foot
المجلس الأعلى للقوات المسلحة;The Supreme Council of the Armed Forces
فن;art
صمت;silence
رد;answer, reply, response
قبول;accepting, acceptance, approving, approval
زيادة;increase, increasing, adding, addition
قاضي;judge
جيل;generation
بسبب;because , due to, for the reason of
ملك;king
حدث;event
جواب;answer, response, reply
هدوء;silence, quiet, calm, peace, tranquility
جهاز;appliance, equipment, machine, device
جهاد;struggle, jihad
سمك;fish
كابوس;nightmare
نفي;denial, rebuttal
بيان;declaration, announcement, statement
تركيب;assembling, installation, putting together
خريف;fall, autumn
احتمالية;possibility, probability, likelihood
وسيلة;means, medium
زيت;oil
أولوية;priority
شبكة;net
ظرف;circumstance, condition
أهمية;importance
فساد;corruption
قطاع;section, sector, district
حديد;iron
دين;religion, creed, faith, belief
مع حق;is right
نفي;negation
هدية;gift
سياق;context
شخصية;personality, character, personage
سفرة;dining table
مؤامرة;conspiracy
حصار;siege
سلوك;behavior
نظارة;eyeglasses
نكتة;joke, wisecrack
مصطلح;term
مبلغ;amount or sum
صنع;making, manufacturing, producing
كيس;bag
لا شك في;there's no doubt about
وفاة;death
إلى الأبد;forever
قبضة;grip, hold, clasp, grasp
معاناة;suffering
ضريبة;tax
صناعة;manufacture, production, industry
تحدّي;challenge
بساط;carpet, rug
خلاف;disagreement, dispute, conflict
لهجة;manner of speaking, tone, style of speech, language
بعد;dimension, aspect
عمق;depth
جريمة;crime
شرطة;police
ميل;tendency, inclination, taste, desire
مبدأ;principle
معرفة;knowing, knowledge
على باب الله;in search for sustenance
خدمات;services
إله;god
بث;broadcasting, broadcast, transmission
كل;each, every
تنمية;development, developing
لسان;tongue
كومبيوتر;computer
شك;suspicion, doubt
فئة;group, category, class
كائن;being, creature
استراحة;rest, repose, break
اختبار;test, examination
نشاط;activity
مقابلة;meeting, interview
دافع;motive, incentive
ضرب;hitting, beating, striking
دور;role
خاصية;feature, characteristic
شرح;explaining, explanation
بندقية;rifle, shotgun
أنصار;supporters, adherents, followers, partisans, sponsors, patrons
شهادة;testimony
ممل;boring
أوليتها;at first
إنتاج;producing, generating, production, output
مشترك;subscriber, member
جودة;quality
مساواة;equality
مدونة;blog
راي;opinion
بشكل مطلق;absolutely, unrestrictedly, without exception, in any respect, under any circumstances
كافر;unbeliever, infidel, atheist
من باب;by way of, as a means of
سيد;lord, master
هيمنة;dominance, domination, control
ليل نهار;day and night
نعمة;grace, blessing, bounty
وافد;visiting foreigner
إقطاع;feudalism
فقر;poverty
مساحة;space, area
طوفان;flood
زمان;time, period, era
صورة نمطية;stereotype
دفاع;defense
بريد;post, mail
دعوة;inviting, asking  to come, invitation
خيل;horse
طقس;ritual
سيادة;sovereignty
مخالفة;ticket
وباء;epidemic, infectious disease
لمس;touching
سلطة;authority
بالمجان;for free
تلوث;pollution
أنانية;egoism, selfishness
احتمال;possibility, probability, likelihood, it's possible that
ضيق;tightness
مفهومًا;concept, notion, idea
خلاصة;essence, main point, summary
مخلوق;creature
تقدير;estimation, appraisal, assessment
بادية;Bedouin
تمييز;discrimination, differentiation, privileging, preferential treatment
وزارة;ministry
صيد;hunting
ديانة;religion
رعاية;care
اشتراء;buying
بنية تحتية;infrastructure
ركوب;riding
جرّ;pulling, dragging
بالصدفة;by chance, by coincidence, accidentally
وزن;weight
استضافة;hosting
ديل;tail
حرير;silk
شط;beach, shore
رغبة;want, desire
قريب;relative, cousin
قناعة;belief, conviction
تسمية;name, title, naming, calling, being named
طبعة;printing, print, edition, issue
سلعة;commodity, merchandise, good
بيت;line, verse
لغز;mystery, enigma, riddle
تعدد;variety, diversity, multiplicity, plurality
صدور;appearance, publication, coming out, issuance, release
مرجعيات;references, authorities
واسطة;nepotism, connections
نتاج;product, output
نداء;call, appeal, summons
صليب;cross
نفوذ;influence, authority
بلحة;date
عصب;nerve
تجمع;gathering, assembly, group, agglomeration
فضيلة الشيخ;[formal title of an Azhar scholar]
موقع;position
تصوير;photography, photographing, taking photos
ذل;humiliation, abasement
اتصال;contacting, contact, connecting, connection
نشوء;emergence, rising, appearance
ركض;running
أسفل;lower or lowest part, bottom
خلق;creating
نشر;publishing, posting
برودة;coldness, coolness, chilliness
حقوق;law
نخبة;the pick, cream, elite
سياحة;tourism
انتقال;transfer, transmission
كفاءة;efficiency, proficiency
ولد عم;cousin
قصيدة;poem, ode
مؤرخ;historiographer, historian, chronicler, annalist
صدر;chest, breast, bosom
لهو;amusement, entertainment, pleasure, fun, play
تبنّي;adopting, adoption
إشكالية;problem, predicament
رئيس وزرا;Prime Minister
قيادة;leading, leadership, command
بحيرة;lake
في غاية;extremely, of utmost
لعنة;curse
نظرة;look, glance
حكمة;wisdom
بياض;whiteness
خطيبة;fiancée
رصد;observing, monitoring
غلط;error, mistake
مقاطعة;interrupting, interruption
كثافة;density, intensity
زهر;dice
المخابرات;the state intelligence services, secret services
توقّع;expectation, expecting, anticipation, anticipating
عقبة;obstacle, hurdle
قسمة;fate, share/lot in life
زلزال;earthquake
استخبارات;secret service, intelligence service
وزارة الخارجية;ministry of foreign affairs
غيرة;jealousy
حركة;movement
تراث;inheritance, legacy, heritage
أبتي;O my father!
معارضة;opposition
غرض;aim, intention, purpose
اتصال;communication
مورد;source , resource
إذن;ear
وكالة;agency
سهر;staying up late, spending the evening/night
دم تقيل;is unfunny, lame, annoying
دوا;medicine, remedy
انقلاب;coup d'etat, upheaval
دليل;guide
لوم;blame, reproach
نحو;grammar, syntax
قماش;fabric, cloth
تشبيه;allegory, simile, parable
ناقد;critic
تشاؤم;pessimism, being pessimistic
تفاؤل;optimism, being optimistic
مقاومة;resisting, opposing, resistance
مما;from
مغامرة;adventure
هروب;running away, escaping
صيغ;types, versions, forms
كمّون;cumin
قصور;deficiency, shortcoming, lack
قالب;template, mold, frame, shape
غربة;state of being a stranger in a foreign land, homesickness, living abroad, absence from the homeland, exile
نصيب;lot/share , fate, destiny
عقد;necklace
تكلفة;cost, expense
ركبة;knee
معهد;institute
حجة;argument, justification, reason
معدات;equipment, material, materials, gear
ابتزاز;blackmail, extortion
هاي الليلة;tonight
منحة;scholarship, grant
جولة;tour
على عكس;as opposed to, contrary to
سلة;basket
واسطة;[well-placed individual who deploys influence on another's behalf]
حزم;determination, resoluteness, firmness, energy, decisiveness
حنّة;henna
ذات;one
صفيحة;jerry can, tank, container
مساهمة;participation, sharing, contribution
ع الوقت;on time
خشبة;piece of wood, plank, board
مناعة;immunity, immune system
ميزانية;budget
شيعة;Shia
حسد;envy,  evil eye
مكتوب;fated, foreordained, destined
اشتباك;clash, confrontation, encounter
دفن;burial, burying
قنال;canal
توقع;forecast, prospect
ولاء;devotion, loyalty
ذوق;tact, manners
برفقة;accompanied by, in the company of
برنامج;computer program
غالبية;majority, greater portion
مجاملات;courtesy, compliments
جلد;hide
بر;land
سحب;withdrawing, taking away, pulling
سلطة;power
ألم;pain, ache
قمع;repression, repressing, oppression, suppression, curbing, prevention
حرج;feeling of unease, embarrassment, awkward situation
تنكة;tin container, can
نوعية;quality
خليج;bay, gulf
عروبة;Arab nationalism
توتّر;tension, strain, stress
دستور;constitution
رطوبة;humidity
عبور;crossing, traversing
لا قوة إلا بالله;[part of phrase لا حول ولا قوة إلا بالله]
امتداد;extension, stretching, stretch
عقد;holding, arranging
مفاوضات;negotiations, talks
تغزل;flirtation, expressing romantic thoughts
عادة شهرية;menstrual cycle, menstrual period, menstruation
منظمة;organization, institution
إلى حد ما;to a certain extent, up to a point
مسح;rubbing, wiping, mopping
حريق;fire
غرق;drowning, sinking
عند;stubbornness
حرص;keenness, eagerness,  desire
فك;taking apart, disassembling
نقص;shortage, lack
مذياع;radio
ملء;filling, filling up, filling out
سر;secret
يأس;hopelessness, desperation, despair
يقين;conviction, certainty
ليلال;night
غزل;flirtation
استطاعة;ability, capability, power
توفّر;availability, existence, abundance
صداع;headache
نفس;soul
حافلة;bus
عادة;custom
حفل;concert
عدم;nothing, nothingness, non-being, nonexistence
شماتة;gloating, malicious joy, schadenfreude, rejoicing at s.o.'s misfortune
روحانية;spirituality, spiritualism
سوء;evil, poor, bad, ill-, mis-, mal-
خمس;fifth
الناقة;The She-Camel
مع الأخذ بعين الاعتبار;taking into consideration
واحة;oasis
فصل;class, classroom
عقاب;punishment
فرار;fleeing, running away
قدر;extent, amount, quantity
تلج;snow, ice
ما بال;what's with...? what's the matter with...?
اعتماد عليّ;depending on me, relying on me
رابط;tie, link, bond
رد;answering, replying, responding
رشوة;bribe
إحصاء;statistic, count
صحافة;journalism, news business,  press
مرونة;flexibility
شعراية;a hair
تقاطع;intersection, junction, crossing
ضمير;personal pronoun
روب;quarter
بزر;seeds
رؤية;seeing
تأمين;insurance, insuring
وإنت بالصحة والسلامة;[response to كل سنة وإنت طيب]
المرء;one
رأس مال;worth
لا حول ولا قوة;[part of phrase لا حول ولا قوة إلا بالله]
عامة;general, common
نسخة;copy, edition, print, version
نقيض;opposite, contrary, contradictory
خلل;fault, flaw, defect, shortcoming, imperfection
عجز;incapacity, inability, failure
نمط;pattern
مربية;nanny, governess, nursemaid
حلقة;ring, circle
فقدان;loss, lack
بما في ذلك;including
إذاعة;radio, broadcast, broadcasting
ناطحة سحاب;skyscraper
ذكرى;anniversary, event of remembrance, commemoration
حادثة;accident, incident, event
بين قوسين;between parentheses
ملايات;bedsheets
ربط;tying, fastening, binding
حساب;calculating, calculation, counting, computing
نهضة;revival, renaissance, awakening
بعثرة;scattering, strewing around, flinging about
ثراء;wealth, richness
جفن;eyelid
حداثة;modernity, modernization
محصول;crop
بئر;well
بطء;slowness
سادة;sirs
مؤشر;indicator, indication, sign
الكيان الصهيوني;the Zionist entity
معاد;appointment,  time, date
رأسمالية;capitalism
لتو;right away, straightaway, just now
فرح;celebration, festival, festivity, feast of rejoicing
حسنات;good deeds, charitable actions, alms
سلبية;negativism, negative attitude
نشر;spreading
طاولة;backgammon
نظرًا ل;due to
رنين;ring, ringing
شرور;evil, wickedness
تضحية;sacrifice
عشر;tenth
عقيدة;belief, conviction, doctrine, dogma
سلب;taking away, stealing
صبّار;patient
وفا;faithfulness, loyalty
صيغة;wording, text, version
عولمة;globalization
فرضيّة;assumpton, hypothesis
إيديولوجية;ideology
في الحق;in truth, actually
مجاز;metaphor, figurative expression
ماشية;livestock, cattle
استطلاع;survey, poll
وتيرة;tempo, pace, speed
ورقة;leaf
مقاطعة;shunning, cutting off relations
تقنيات;techniques
كحل;kohl
قرقعة;loud noise, uproar
جزية;head tax on free non-Muslims under Muslim rule
شقيقة;sister
تغيّب;absence, nonattendance, being away
قلب أبيض;is kind, good-hearted
امتياز;special right, privilege, advantage
لسان طويل;is mouthy, insolent, rude, cheeky, talks back
ما عندوش دم;has no emotions or concern for others
مفروشات;furniture
عين وحشة;has an evil eye, is envious of others
وزن;pattern, form, measure
شقيق;brother
استجواب;interrogation, interrogating, examination, examining, questioning
مصادفة;coincidence, chance
تلفزة;television
بيان;becoming apparent or visible, showing up, coming into sight
في سرّ;in one's heart, to oneself, secretly, inwardly
نفاد;becoming depleted or exhausted, running out
ما إن حتى;no sooner had... than..
حسن;beauty, handsomeness, prettiness, loveliness
ست الحسن;beautiful lady
عيني;my dear
نزوع إلى;being inclined towards, having a tendency to
ضلال;straying, going astray , deviation
فوات;passing , elapsing, eluding, escaping  notice
تعددية;diversity, plurality
معنويات;morale, spirits
سلة;basketball
بحزم;firmly, decisively
حلّ;dissolving  [chemistry]
نزع;tearing out, tearing off, removing
مفر;escape, way out
طاولة الزهر;backgammon board
رسوخ;being firmly established or deeply rooted
مستوٍ;level, even
نهوض;arising, rising, getting up
حفيف;rustle, rustling sound
رتابة;routine, monotony
عضّ;biting
نبرة;tone
سبابة;index finger, forefinger
حدقة;pupil
إبل;camels
وجع دماغ;headache, pain the in neck, nuisance
إليّ ب;bring me!
خادم;servant
سكون;tranquility, calm, becoming tranquil or calm
مشارف;elevated vantage point, high ground
لمح;catching a glimpse of, noticing, seeing, glancing
النكبة;Nakba Day
مؤيّد;proponent, supporter
حب الاستطلاع;inquisitiveness, curiosity
قطيعة;break of relations, estrangement, alienation
تمركز;centralization, concentration
معانى من;being suffered from
المدّعى عليه;defendant, accused
برود;emotional coldness, frigidity
كينونة;existence, being
أمسية;evening
مدعوّ;one invited, invitee, guest
زلزلة;causing to tremble
هأنذا;here I am!
مقرّر;curriculum, syllabus
رقيب;censor
مثل أعلى;ideal, model, role model
كتيّب;booklet, handbook, small book, pamphlet, leaflet
فتّاحة;opener
نقيض;antithesis, opposition, contrast, opposite
في طيّ الكتمان;under the veil of secrecy
كتلة;lump, clot, bloc, mass
غزل;love poetry, romantic poetry
قافية;rhyme
زوال;abating, coming to an end, ceasing to be
ميراث;legacy, inheritance
نيل;getting, acquiring, obtaining, winning, gaining, earning
حسبان;considering, thinking, believing, regarding, assuming, supposing, reckoning, taking  into account
مد;extending, stretching
كسب;gaining, winning, acquiring
ساحل العاج;Côte d'Ivoire
باستطاعت;can, is able , is capable
دار نشر;publishing house
نقصان;being deficient or lacking
سدس;sixth
طريق مسدود;a dead end
مناورات;maneuvers
انقياد;obedience, compliance, yielding, submission, acquiescence
كتمان;secrecy, discretion, confidentiality
معوّق;impediment, obstacle, restraining influence
دعاة;propagandists, advocates, those who call for
سخونة;heat, warmth
عانس;spinster
ذكرى سنوية;anniversary, annual celebration, commemoration ceremony
خليفة;successor, caliph
غنمة;sheep
لا مبالاة;indifference, unconcern, carelessness
تجسد;embodiment, representation of a role or character
ديوان;anthology of poems
حرص;care, caution, concern
سمة;characteristic, feature, trait
بواسطة;by means of, through, by
رأسمال;capital
شذوذ;deviation, perversion, abnormality, aberration
صمود;perseverance, persistence, endurance, resistance
ركوع;kneeling, bowing
مخابرات;secret service, intelligence agency
كتم;silencing, hiding, concealing, keeping quiet
هامش;margin
غموض;vagueness, ambiguity, mystery
لؤم;meanness, wickedness
فضيلة;virtue, good quality
تناقض;contradiction
استيراد;importing
هدمة;garment, a piece of clothing
وسيط;mediator, intercessor
محور;pivot, central point, heart
نثر;prose
جريح;wounded person
سيّئات;sins, offenses, misdeeds
غزو;invasion
عناد;stubbornness
انحطاط;decadence
حما;father-in-law
رب العمل;employer, proprierter of a business
فهرس;index, table of contents
الشبكة الدولية;the world-wide web
عصبية;nervousness, irritability, uptightness
من لحم ودم;of  own flesh and blood
قمر الزمان;the most handsome man or beautiful woman of all time
سوء الحظ;misfortune
حسن الحظ;good fortune
لسوء الحظ;unfortunately
لحسن الحظ;fortunately
ذكورية;masculinity
صياح;screaming, yelling, shouting
خاطبة;matchmaker, woman who arranges traditional marriages
سعف;palm leaves, palm frond
تاريخانية;historicism
تقني;technician
تماهي مع;coalescing or being congruent with
عقلانية;rationality
لمعان;sparkle, shine, shimmer, gleam
حائض;menstruating
اللاوعي;the subconscious
حمدلة;utterance of the formula الحمد لله
أدبيات;publications, literature
نظرة دونية;looking down on someone, dim view
روح معنوية;morale
علمانية;secularism
تبعًا ل;according to, in accordance with
علوّ;height, elevation, becoming higher
بنيوية;structuralism
ضيق;"dire circumstances, a ""tight"" spot"
مرضع;wet nurse
خضرة;greenness, green color
حمرة;redness, red color
مقتل;murder, killing
سمرة;brownness
دق;knocking
لاعقلانية;irrationality
خوصصة;privatization
رمي إلى;aiming at, intending
دليل على;indication of
حضور;presence, attending, attendance
صرف;pure, sheer
خسالة;washing machine
خلف;back, rear, rear part or portion
شبكة;network
هتاف;shouting, chanting, cheering
من وقتها;since, since then
إمكانية;possibility, capability, ability, power
زمن;period, age, era
على الأبواب;near, imminent, just around the corner
شاهد;witness
فصل;semester
يا ساتر;oh my God! dear God! oh gosh! God forbid! God save us!
أدب;literature
تهمة;accusation, charge
جلد;leather
العلي;The Most Exalted
ضأن;sheep , mutton
أدلجة;ideologization
وعليه ف;hence
الشهادة;Islamic testimony of faith
كشف;revealing, uncovering, exposing
خلاص من;getting rid of
خلاص;rescue, salvation
ماهية;essence, core, nature
وصف;description, describing
توصيل;delivering, delivery
جالية;diaspora, colony , foreign community
تأتأة;stuttering, stammering
رابط;link, hyperlink
استقرار;stability, settledness, settling
جائزة;prize, award
تجذر;taking root, being firmly rooted
تهميش;marginalization
بنيان;building, construction, erection, setting up
تجليات;revelations, manifestations
حك;rubbing, chafing, scratching
